long,lat,elevation,time
5.194617,43.447266,450,2022-07-23T16:25:56.550Z
5.194617,43.447266,450,2022-07-23T16:25:56.550Z
5.193198,43.448274,480,2022-07-23T16:25:58.660Z
5.191807,43.449326,511,2022-07-23T16:26:00.630Z
5.190465,43.450287,541,2022-07-23T16:26:02.680Z
5.188947,43.451393,572,2022-07-23T16:26:04.730Z
5.187655,43.452301,594,2022-07-23T16:26:06.780Z
5.186441,43.453217,625,2022-07-23T16:26:08.490Z
5.185164,43.454132,648,2022-07-23T16:26:10.240Z
5.183847,43.455071,671,2022-07-23T16:26:12.040Z
5.182353,43.456146,701,2022-07-23T16:26:14.160Z
5.180948,43.457153,732,2022-07-23T16:26:16.420Z
5.178026,43.459261,792,2022-07-23T16:26:20.320Z
5.176541,43.460358,815,2022-07-23T16:26:22.370Z
5.175084,43.461449,846,2022-07-23T16:26:26.210Z
5.173666,43.462463,876,2022-07-23T16:26:26.520Z
5.172206,43.463543,907,2022-07-23T16:26:28.570Z
5.170792,43.464523,937,2022-07-23T16:26:30.500Z
5.169264,43.465638,960,2022-07-23T16:26:32.510Z
5.167918,43.466629,991,2022-07-23T16:26:34.570Z
5.166321,43.467733,1021,2022-07-23T16:26:36.450Z
5.164097,43.469316,1044,2022-07-23T16:26:39.710Z
5.163702,43.469604,1059,2022-07-23T16:26:40.110Z
5.161083,43.471481,1090,2022-07-23T16:26:43.580Z
5.15872,43.473221,1120,2022-07-23T16:26:46.410Z
5.156185,43.475088,1151,2022-07-23T16:26:49.470Z
5.153801,43.476837,1181,2022-07-23T16:26:52.490Z
5.150991,43.478806,1212,2022-07-23T16:26:55.800Z
5.14886,43.480395,1242,2022-07-23T16:26:58.030Z
5.147542,43.481369,1273,2022-07-23T16:26:59.690Z
5.146179,43.48235,1280,2022-07-23T16:27:01.400Z
5.144284,43.483704,1311,2022-07-23T16:27:03.190Z
5.141929,43.485423,1341,2022-07-23T16:27:05.770Z
5.140097,43.486773,1356,2022-07-23T16:27:07.820Z
5.138005,43.488309,1387,2022-07-23T16:27:10.030Z
5.137416,43.488728,1394,2022-07-23T16:27:10.760Z
5.135847,43.489845,1410,2022-07-23T16:27:12.210Z
5.133809,43.491348,1433,2022-07-23T16:27:14.340Z
5.132787,43.492081,1455,2022-07-23T16:27:15.420Z
5.130027,43.494035,1486,2022-07-23T16:27:18.020Z
5.129046,43.49478,1494,2022-07-23T16:27:18.870Z
5.128196,43.495385,1509,2022-07-23T16:27:19.680Z
5.125569,43.497253,1539,2022-07-23T16:27:22.150Z
5.124207,43.498225,1547,2022-07-23T16:27:23.590Z
5.121656,43.500087,1577,2022-07-23T16:27:26.090Z
5.119498,43.501623,1608,2022-07-23T16:27:28.110Z
5.116499,43.503799,1638,2022-07-23T16:27:30.610Z
5.113625,43.505859,1669,2022-07-23T16:27:33.290Z
5.11152,43.507396,1692,2022-07-23T16:27:35.130Z
5.108512,43.509537,1722,2022-07-23T16:27:37.590Z
5.105504,43.511678,1753,2022-07-23T16:27:40.320Z
5.103149,43.513354,1783,2022-07-23T16:27:42.380Z
5.100211,43.515518,1814,2022-07-23T16:27:44.840Z
5.09855,43.516708,1821,2022-07-23T16:27:46.330Z
5.096741,43.51801,1852,2022-07-23T16:27:47.690Z
5.093798,43.520058,1882,2022-07-23T16:27:50.180Z
5.091902,43.521501,1890,2022-07-23T16:27:51.740Z
5.091269,43.521927,1897,2022-07-23T16:27:52.180Z
5.088778,43.523712,1928,2022-07-23T16:27:54.460Z
5.084904,43.526482,1958,2022-07-23T16:27:57.590Z
5.082942,43.527972,1981,2022-07-23T16:27:59.110Z
5.081752,43.528793,1996,2022-07-23T16:27:59.770Z
5.077919,43.53154,2027,2022-07-23T16:28:02.900Z
5.074981,43.533691,2057,2022-07-23T16:28:04.970Z
5.071695,43.536025,2088,2022-07-23T16:28:07.600Z
5.069743,43.537445,2103,2022-07-23T16:28:09.230Z
5.066986,43.53947,2134,2022-07-23T16:28:11.170Z
5.064043,43.541565,2164,2022-07-23T16:28:13.530Z
5.062589,43.542618,2164,2022-07-23T16:28:14.410Z
5.056784,43.546825,2225,2022-07-23T16:28:18.870Z
5.055563,43.547699,2233,2022-07-23T16:28:19.640Z
5.052665,43.549758,2263,2022-07-23T16:28:21.720Z
5.050441,43.551341,2278,2022-07-23T16:28:23.280Z
5.043967,43.555996,2339,2022-07-23T16:28:28.220Z
5.042469,43.557083,2347,2022-07-23T16:28:29.120Z
5.037104,43.560928,2400,2022-07-23T16:28:33.350Z
5.031346,43.565027,2461,2022-07-23T16:28:37.640Z
5.02873,43.566936,2477,2022-07-23T16:28:39.480Z
5.028034,43.567429,2484,2022-07-23T16:28:40.000Z
5.022796,43.571228,2545,2022-07-23T16:28:44.360Z
5.01973,43.573517,2568,2022-07-23T16:28:46.510Z
5.019117,43.574012,2576,2022-07-23T16:28:47.140Z
5.018071,43.574896,2583,2022-07-23T16:28:47.890Z
5.017221,43.575595,2598,2022-07-23T16:28:48.620Z
5.016697,43.576014,2606,2022-07-23T16:28:49.010Z
5.014173,43.578094,2629,2022-07-23T16:28:51.030Z
5.013151,43.57901,2644,2022-07-23T16:28:52.000Z
5.012129,43.579926,2652,2022-07-23T16:28:53.040Z
5.011618,43.580338,2652,2022-07-23T16:28:53.460Z
5.011074,43.580855,2667,2022-07-23T16:28:53.890Z
5.005422,43.586151,2728,2022-07-23T16:28:59.160Z
5.000087,43.591515,2789,2022-07-23T16:29:04.040Z
4.995075,43.597046,2850,2022-07-23T16:29:09.140Z
4.993733,43.598602,2873,2022-07-23T16:29:10.630Z
4.993158,43.599243,2880,2022-07-23T16:29:11.210Z
4.992305,43.600267,2888,2022-07-23T16:29:12.220Z
4.989645,43.603546,2926,2022-07-23T16:29:15.010Z
4.989166,43.604085,2934,2022-07-23T16:29:15.550Z
4.987597,43.606179,2957,2022-07-23T16:29:17.930Z
4.987154,43.60675,2964,2022-07-23T16:29:18.090Z
4.982939,43.61261,3025,2022-07-23T16:29:22.810Z
4.982234,43.613674,3040,2022-07-23T16:29:23.740Z
4.981711,43.614373,3048,2022-07-23T16:29:24.210Z
4.979298,43.618103,3078,2022-07-23T16:29:27.380Z
4.977829,43.620529,3109,2022-07-23T16:29:29.530Z
4.977461,43.621123,3117,2022-07-23T16:29:30.030Z
4.974387,43.626569,3170,2022-07-23T16:29:34.410Z
4.972294,43.630573,3208,2022-07-23T16:29:37.400Z
4.971952,43.631195,3223,2022-07-23T16:29:38.000Z
4.970483,43.634262,3254,2022-07-23T16:29:40.360Z
4.969875,43.635647,3261,2022-07-23T16:29:41.640Z
4.968439,43.638885,3292,2022-07-23T16:29:44.020Z
4.968248,43.639389,3292,2022-07-23T16:29:44.570Z
4.967128,43.642118,3330,2022-07-23T16:29:46.590Z
4.96582,43.645386,3353,2022-07-23T16:29:49.080Z
4.963521,43.651108,3414,2022-07-23T16:29:53.470Z
4.962943,43.652545,3429,2022-07-23T16:29:54.620Z
4.961373,43.656502,3459,2022-07-23T16:29:57.650Z
4.961094,43.65715,3475,2022-07-23T16:29:58.140Z
4.960589,43.658318,3482,2022-07-23T16:29:58.960Z
4.959412,43.661204,3513,2022-07-23T16:30:01.360Z
4.95673,43.667628,3574,2022-07-23T16:30:06.010Z
4.953984,43.674192,3635,2022-07-23T16:30:11.030Z
4.948883,43.686622,3757,2022-07-23T16:30:20.540Z
4.946267,43.692999,3810,2022-07-23T16:30:25.290Z
4.94594,43.693791,3825,2022-07-23T16:30:25.750Z
4.945613,43.694582,3833,2022-07-23T16:30:26.540Z
4.942187,43.703018,3917,2022-07-23T16:30:32.760Z
4.941886,43.70366,3917,2022-07-23T16:30:33.320Z
4.94097,43.705801,3940,2022-07-23T16:30:34.830Z
4.940718,43.706451,3947,2022-07-23T16:30:35.240Z
4.939924,43.708501,3962,2022-07-23T16:30:36.790Z
4.934778,43.720917,4077,2022-07-23T16:30:46.110Z
4.934458,43.721741,4092,2022-07-23T16:30:46.740Z
4.934203,43.722244,4092,2022-07-23T16:30:47.080Z
4.933581,43.723724,4115,2022-07-23T16:30:48.220Z
4.933308,43.724396,4115,2022-07-23T16:30:48.710Z
4.932796,43.725586,4130,2022-07-23T16:30:49.590Z
4.9326,43.726145,4138,2022-07-23T16:30:50.040Z
4.931839,43.727875,4153,2022-07-23T16:30:51.280Z
4.93152,43.728699,4153,2022-07-23T16:30:51.940Z
4.931328,43.729248,4168,2022-07-23T16:30:52.430Z
4.93103,43.729915,4168,2022-07-23T16:30:52.920Z
4.929788,43.732848,4199,2022-07-23T16:30:55.050Z
4.929461,43.733639,4206,2022-07-23T16:30:55.820Z
4.924491,43.74579,4328,2022-07-23T16:31:04.780Z
4.923855,43.747238,4336,2022-07-23T16:31:05.810Z
4.922194,43.751312,4374,2022-07-23T16:31:08.840Z
4.92194,43.751981,4374,2022-07-23T16:31:09.140Z
4.921352,43.753331,4389,2022-07-23T16:31:10.300Z
4.920853,43.754562,4397,2022-07-23T16:31:10.950Z
4.917951,43.761524,4442,2022-07-23T16:31:16.090Z
4.911412,43.777585,4549,2022-07-23T16:31:27.760Z
4.911216,43.778143,4549,2022-07-23T16:31:28.310Z
4.910889,43.778981,4557,2022-07-23T16:31:28.810Z
4.91025,43.780518,4572,2022-07-23T16:31:29.840Z
4.909867,43.781342,4580,2022-07-23T16:31:30.350Z
4.904938,43.793366,4679,2022-07-23T16:31:38.960Z
4.904545,43.794204,4694,2022-07-23T16:31:39.530Z
4.904054,43.795486,4702,2022-07-23T16:31:40.510Z
4.903761,43.796206,4717,2022-07-23T16:31:40.880Z
4.901371,43.802032,4778,2022-07-23T16:31:45.180Z
4.900988,43.802902,4793,2022-07-23T16:31:45.640Z
4.899314,43.807052,4831,2022-07-23T16:31:48.630Z
4.899008,43.807755,4831,2022-07-23T16:31:49.250Z
4.895913,43.815339,4915,2022-07-23T16:31:54.580Z
4.895623,43.816086,4923,2022-07-23T16:31:54.740Z
4.895367,43.816635,4923,2022-07-23T16:31:55.310Z
4.895063,43.817387,4923,2022-07-23T16:31:55.790Z
4.894792,43.8181,4938,2022-07-23T16:31:56.500Z
4.894409,43.81897,4938,2022-07-23T16:31:56.970Z
4.892317,43.823997,4983,2022-07-23T16:32:00.430Z
4.89199,43.824882,4999,2022-07-23T16:32:00.930Z
4.890485,43.828466,5029,2022-07-23T16:32:03.370Z
4.890193,43.829178,5037,2022-07-23T16:32:03.820Z
4.889235,43.831512,5060,2022-07-23T16:32:05.510Z
4.887702,43.835266,5098,2022-07-23T16:32:07.990Z
4.887412,43.836008,5105,2022-07-23T16:32:08.620Z
4.88715,43.836566,5113,2022-07-23T16:32:08.920Z
4.886562,43.83801,5121,2022-07-23T16:32:10.140Z
4.8863,43.838615,5128,2022-07-23T16:32:10.500Z
4.883619,43.844992,5189,2022-07-23T16:32:14.770Z
4.883292,43.845877,5189,2022-07-23T16:32:15.400Z
4.88303,43.846436,5197,2022-07-23T16:32:15.660Z
4.882465,43.847763,5220,2022-07-23T16:32:16.800Z
4.882081,43.848633,5220,2022-07-23T16:32:17.260Z
4.879079,43.855957,5281,2022-07-23T16:32:22.250Z
4.878057,43.858292,5304,2022-07-23T16:32:23.790Z
4.877799,43.859051,5319,2022-07-23T16:32:24.320Z
4.877407,43.859936,5319,2022-07-23T16:32:24.920Z
4.877099,43.860672,5319,2022-07-23T16:32:25.560Z
4.876844,43.861221,5326,2022-07-23T16:32:25.900Z
4.874672,43.866531,5380,2022-07-23T16:32:29.560Z
4.874417,43.867126,5380,2022-07-23T16:32:29.890Z
4.873331,43.869781,5403,2022-07-23T16:32:31.650Z
4.872948,43.870697,5410,2022-07-23T16:32:32.380Z
4.872044,43.872924,5425,2022-07-23T16:32:33.720Z
4.871734,43.873627,5441,2022-07-23T16:32:34.300Z
4.871194,43.874972,5456,2022-07-23T16:32:35.150Z
4.870904,43.875732,5464,2022-07-23T16:32:35.840Z
4.865178,43.889496,5585,2022-07-23T16:32:45.130Z
4.859342,43.90361,5707,2022-07-23T16:32:54.320Z
4.859087,43.904205,5715,2022-07-23T16:32:55.020Z
4.858377,43.905836,5730,2022-07-23T16:32:56.080Z
4.857788,43.907326,5745,2022-07-23T16:32:57.170Z
4.857134,43.908862,5753,2022-07-23T16:32:58.160Z
4.850791,43.924178,5875,2022-07-23T16:33:08.400Z
4.849697,43.926773,5898,2022-07-23T16:33:09.820Z
4.848764,43.929019,5906,2022-07-23T16:33:11.500Z
4.847845,43.931305,5928,2022-07-23T16:33:12.880Z
4.847462,43.93222,5936,2022-07-23T16:33:13.640Z
4.843728,43.941123,6012,2022-07-23T16:33:19.410Z
4.843438,43.941879,6027,2022-07-23T16:33:19.860Z
4.843054,43.942795,6035,2022-07-23T16:33:20.540Z
4.842799,43.94339,6043,2022-07-23T16:33:20.940Z
4.836667,43.958267,6165,2022-07-23T16:33:30.820Z
4.836412,43.958862,6165,2022-07-23T16:33:31.250Z
4.83539,43.961288,6187,2022-07-23T16:33:32.610Z
4.83111,43.971634,6279,2022-07-23T16:33:39.530Z
4.83078,43.972406,6287,2022-07-23T16:33:39.980Z
4.830216,43.973785,6309,2022-07-23T16:33:41.070Z
4.824659,43.987152,6431,2022-07-23T16:33:49.640Z
4.824276,43.988068,6439,2022-07-23T16:33:50.250Z
4.82402,43.988663,6439,2022-07-23T16:33:50.660Z
4.823456,43.990049,6454,2022-07-23T16:33:51.600Z
4.823063,43.990934,6469,2022-07-23T16:33:52.210Z
4.822487,43.992325,6485,2022-07-23T16:33:53.150Z
4.822213,43.993075,6492,2022-07-23T16:33:53.640Z
4.817186,44.005051,6591,2022-07-23T16:34:01.610Z
4.814889,44.010532,6629,2022-07-23T16:34:04.920Z
4.814693,44.011137,6645,2022-07-23T16:34:05.660Z
4.807477,44.028442,6759,2022-07-23T16:34:16.870Z
4.804622,44.035391,6789,2022-07-23T16:34:21.390Z
4.798598,44.049774,6911,2022-07-23T16:34:30.790Z
4.793424,44.06218,7010,2022-07-23T16:34:38.570Z
4.793041,44.063095,7018,2022-07-23T16:34:39.260Z
4.791543,44.066674,7049,2022-07-23T16:34:41.420Z
4.791253,44.067444,7056,2022-07-23T16:34:42.200Z
4.79055,44.068954,7071,2022-07-23T16:34:43.060Z
4.790235,44.069747,7079,2022-07-23T16:34:43.480Z
4.789974,44.070352,7079,2022-07-23T16:34:43.880Z
4.78932,44.071935,7094,2022-07-23T16:34:44.920Z
4.789017,44.072708,7094,2022-07-23T16:34:45.550Z
4.785632,44.080765,7155,2022-07-23T16:34:50.580Z
4.785376,44.08136,7163,2022-07-23T16:34:51.140Z
4.784993,44.082275,7170,2022-07-23T16:34:51.570Z
4.782519,44.088368,7201,2022-07-23T16:34:55.610Z
4.782183,44.089142,7216,2022-07-23T16:34:56.060Z
4.777903,44.099442,7277,2022-07-23T16:35:02.750Z
4.776502,44.102706,7300,2022-07-23T16:35:04.840Z
4.776178,44.103516,7300,2022-07-23T16:35:05.390Z
4.775848,44.104288,7308,2022-07-23T16:35:05.800Z
4.775194,44.105871,7315,2022-07-23T16:35:06.760Z
4.772579,44.112156,7346,2022-07-23T16:35:10.820Z
4.772317,44.112761,7353,2022-07-23T16:35:11.350Z
4.770486,44.117183,7384,2022-07-23T16:35:14.090Z
4.770094,44.118161,7384,2022-07-23T16:35:14.730Z
4.769727,44.118942,7391,2022-07-23T16:35:15.330Z
4.769088,44.120499,7399,2022-07-23T16:35:16.200Z
4.768833,44.12114,7399,2022-07-23T16:35:16.550Z
4.768577,44.12178,7407,2022-07-23T16:35:17.040Z
4.763881,44.133058,7475,2022-07-23T16:35:24.300Z
4.763554,44.133663,7475,2022-07-23T16:35:24.670Z
4.763276,44.13446,7483,2022-07-23T16:35:25.200Z
4.758911,44.144835,7544,2022-07-23T16:35:32.040Z
4.75538,44.153168,7590,2022-07-23T16:35:36.810Z
4.754781,44.154648,7597,2022-07-23T16:35:37.720Z
4.754078,44.15625,7605,2022-07-23T16:35:38.710Z
4.753439,44.157852,7612,2022-07-23T16:35:39.560Z
4.753056,44.158813,7612,2022-07-23T16:35:40.160Z
4.752609,44.159821,7628,2022-07-23T16:35:40.670Z
4.752306,44.160617,7628,2022-07-23T16:35:41.150Z
4.75197,44.161423,7628,2022-07-23T16:35:41.820Z
4.750501,44.164993,7643,2022-07-23T16:35:43.900Z
4.750148,44.165784,7650,2022-07-23T16:35:44.490Z
4.749756,44.166761,7658,2022-07-23T16:35:44.930Z
4.749298,44.167739,7673,2022-07-23T16:35:45.530Z
4.748968,44.168564,7666,2022-07-23T16:35:45.950Z
4.748329,44.170166,7681,2022-07-23T16:35:47.010Z
4.747627,44.171814,7689,2022-07-23T16:35:48.050Z
4.746225,44.175187,7704,2022-07-23T16:35:50.200Z
4.742325,44.184494,7765,2022-07-23T16:35:55.800Z
4.740862,44.187896,7780,2022-07-23T16:35:57.880Z
4.740537,44.188751,7795,2022-07-23T16:35:58.480Z
4.738312,44.194134,7826,2022-07-23T16:36:01.730Z
4.737919,44.194931,7833,2022-07-23T16:36:02.450Z
4.736916,44.197393,7849,2022-07-23T16:36:03.680Z
4.736581,44.198231,7849,2022-07-23T16:36:04.610Z
4.734505,44.203119,7879,2022-07-23T16:36:07.570Z
4.734103,44.204096,7887,2022-07-23T16:36:08.210Z
4.732688,44.207565,7910,2022-07-23T16:36:10.410Z
4.731968,44.209213,7917,2022-07-23T16:36:11.380Z
4.731249,44.210861,7925,2022-07-23T16:36:12.310Z
4.730857,44.211823,7925,2022-07-23T16:36:13.180Z
4.729011,44.216247,7971,2022-07-23T16:36:15.790Z
4.728743,44.216945,7971,2022-07-23T16:36:16.110Z
4.728408,44.217597,7971,2022-07-23T16:36:16.560Z
4.723853,44.228443,8047,2022-07-23T16:36:22.670Z
4.723451,44.229421,8047,2022-07-23T16:36:23.220Z
4.723075,44.23027,8062,2022-07-23T16:36:23.710Z
4.722094,44.232559,8077,2022-07-23T16:36:25.020Z
4.721776,44.233378,8077,2022-07-23T16:36:25.610Z
4.721107,44.235054,8085,2022-07-23T16:36:26.600Z
4.717757,44.242968,8146,2022-07-23T16:36:31.310Z
4.717124,44.244461,8153,2022-07-23T16:36:32.290Z
4.716819,44.245295,8153,2022-07-23T16:36:32.770Z
4.71647,44.246109,8161,2022-07-23T16:36:33.240Z
4.712197,44.256188,8222,2022-07-23T16:36:39.360Z
4.708688,44.264648,8291,2022-07-23T16:36:44.530Z
4.708426,44.265289,8291,2022-07-23T16:36:44.890Z
4.708034,44.266296,8298,2022-07-23T16:36:45.440Z
4.707642,44.267128,8298,2022-07-23T16:36:45.880Z
4.707315,44.26799,8313,2022-07-23T16:36:46.540Z
4.706922,44.268951,8321,2022-07-23T16:36:47.080Z
4.705632,44.272109,8329,2022-07-23T16:36:49.100Z
4.705163,44.273087,8344,2022-07-23T16:36:49.600Z
4.704437,44.274948,8352,2022-07-23T16:36:50.610Z
4.704176,44.275589,8352,2022-07-23T16:36:51.210Z
4.703555,44.27709,8367,2022-07-23T16:36:52.000Z
4.701746,44.28142,8397,2022-07-23T16:36:54.560Z
4.701345,44.282397,8397,2022-07-23T16:36:55.190Z
4.70034,44.284725,8420,2022-07-23T16:36:56.690Z
4.699938,44.285749,8420,2022-07-23T16:36:57.240Z
4.69967,44.286401,8428,2022-07-23T16:36:57.570Z
4.698813,44.288544,8435,2022-07-23T16:36:58.960Z
4.698486,44.28923,8443,2022-07-23T16:36:59.310Z
4.698129,44.290078,8451,2022-07-23T16:37:00.090Z
4.697832,44.290878,8458,2022-07-23T16:37:00.210Z
4.697191,44.292406,8451,2022-07-23T16:37:01.170Z
4.695048,44.297387,8489,2022-07-23T16:37:04.190Z
4.694378,44.299063,8504,2022-07-23T16:37:05.100Z
4.69411,44.299761,8504,2022-07-23T16:37:05.700Z
4.685931,44.319031,8595,2022-07-23T16:37:17.110Z
4.685535,44.319872,8611,2022-07-23T16:37:17.620Z
4.68453,44.322199,8611,2022-07-23T16:37:18.880Z
4.684165,44.323059,8611,2022-07-23T16:37:19.460Z
4.683903,44.3237,8618,2022-07-23T16:37:20.000Z
4.680243,44.332301,8672,2022-07-23T16:37:24.920Z
4.678083,44.33757,8694,2022-07-23T16:37:28.130Z
4.677625,44.338577,8694,2022-07-23T16:37:28.780Z
4.677037,44.339905,8710,2022-07-23T16:37:29.510Z
4.676644,44.340958,8717,2022-07-23T16:37:30.040Z
4.675821,44.342822,8717,2022-07-23T16:37:31.150Z
4.67542,44.3438,8733,2022-07-23T16:37:31.750Z
4.675075,44.344666,8725,2022-07-23T16:37:32.320Z
4.67475,44.345522,8740,2022-07-23T16:37:32.890Z
4.666242,44.365493,8854,2022-07-23T16:37:44.660Z
4.665572,44.367215,8862,2022-07-23T16:37:45.490Z
4.664835,44.368891,8877,2022-07-23T16:37:46.590Z
4.662258,44.374832,8908,2022-07-23T16:37:50.100Z
4.657484,44.386047,8961,2022-07-23T16:37:56.670Z
4.657026,44.3871,8976,2022-07-23T16:37:57.360Z
4.656662,44.387931,8976,2022-07-23T16:37:57.880Z
4.655849,44.389801,8984,2022-07-23T16:37:59.370Z
4.649571,44.404678,9053,2022-07-23T16:38:07.530Z
4.648002,44.408432,9068,2022-07-23T16:38:09.640Z
4.647619,44.409299,9075,2022-07-23T16:38:10.270Z
4.646614,44.411673,9091,2022-07-23T16:38:11.580Z
4.646145,44.412744,9106,2022-07-23T16:38:12.210Z
4.64514,44.415118,9114,2022-07-23T16:38:13.560Z
4.644797,44.415985,9106,2022-07-23T16:38:14.010Z
4.643398,44.419261,9129,2022-07-23T16:38:16.100Z
4.642996,44.420285,9121,2022-07-23T16:38:16.750Z
4.642181,44.422165,9129,2022-07-23T16:38:17.700Z
4.641791,44.423032,9129,2022-07-23T16:38:18.260Z
4.640518,44.426151,9144,2022-07-23T16:38:20.080Z
4.640154,44.427017,9144,2022-07-23T16:38:20.580Z
4.635695,44.437649,9144,2022-07-23T16:38:26.630Z
4.635226,44.43872,9152,2022-07-23T16:38:27.380Z
4.634757,44.43979,9144,2022-07-23T16:38:27.720Z
4.63402,44.441559,9144,2022-07-23T16:38:28.730Z
4.63,44.451894,9144,2022-07-23T16:38:34.640Z
4.629598,44.453011,9152,2022-07-23T16:38:35.160Z
4.629299,44.453888,9144,2022-07-23T16:38:35.790Z
4.628383,44.456818,9144,2022-07-23T16:38:37.800Z
4.627795,44.458649,9144,2022-07-23T16:38:38.490Z
4.627271,44.460526,9144,2022-07-23T16:38:39.440Z
4.626944,44.461624,9152,2022-07-23T16:38:40.200Z
4.624038,44.474192,9152,2022-07-23T16:38:46.500Z
4.623837,44.475356,9144,2022-07-23T16:38:47.160Z
4.622955,44.480118,9144,2022-07-23T16:38:49.630Z
4.622766,44.481082,9144,2022-07-23T16:38:50.140Z
4.622301,44.483963,9144,2022-07-23T16:38:51.690Z
4.622171,44.484741,9144,2022-07-23T16:38:52.130Z
4.621517,44.489365,9152,2022-07-23T16:38:54.450Z
4.621386,44.490143,9152,2022-07-23T16:38:54.890Z
4.620993,44.493073,9136,2022-07-23T16:38:56.460Z
4.62089,44.494256,9152,2022-07-23T16:38:57.000Z
4.620732,44.495224,9144,2022-07-23T16:38:57.570Z
4.620622,44.496212,9144,2022-07-23T16:38:58.070Z
4.620405,44.498154,9152,2022-07-23T16:38:58.960Z
4.62034,44.499115,9144,2022-07-23T16:38:59.530Z
4.62022,44.500122,9152,2022-07-23T16:39:00.050Z
4.619751,44.505844,9136,2022-07-23T16:39:03.170Z
4.61962,44.507034,9144,2022-07-23T16:39:03.470Z
4.619617,44.508036,9152,2022-07-23T16:39:04.110Z
4.619483,44.5092,9159,2022-07-23T16:39:04.640Z
4.619359,44.511795,9159,2022-07-23T16:39:06.000Z
4.619282,44.512784,9159,2022-07-23T16:39:06.620Z
4.619228,44.513763,9159,2022-07-23T16:39:06.970Z
4.619215,44.515531,9174,2022-07-23T16:39:07.870Z
4.61888,44.5227,9205,2022-07-23T16:39:11.380Z
4.618835,44.523697,9205,2022-07-23T16:39:12.090Z
4.61877,44.525665,9220,2022-07-23T16:39:13.000Z
4.618679,44.527448,9220,2022-07-23T16:39:14.170Z
4.618378,44.531616,9251,2022-07-23T16:39:16.510Z
4.618312,44.532806,9251,2022-07-23T16:39:16.670Z
4.61821,44.533779,9258,2022-07-23T16:39:17.380Z
4.618182,44.534775,9266,2022-07-23T16:39:17.760Z
4.617205,44.546395,9327,2022-07-23T16:39:23.540Z
4.61707,44.547409,9327,2022-07-23T16:39:24.160Z
4.616803,44.550352,9350,2022-07-23T16:39:25.470Z
4.616743,44.551346,9357,2022-07-23T16:39:26.030Z
4.616468,44.554262,9373,2022-07-23T16:39:27.550Z
4.615866,44.560966,9403,2022-07-23T16:39:31.080Z
4.615762,44.56192,9403,2022-07-23T16:39:31.350Z
4.615732,44.562921,9403,2022-07-23T16:39:31.930Z
4.614585,44.576065,9479,2022-07-23T16:39:38.530Z
4.614519,44.576843,9479,2022-07-23T16:39:39.040Z
4.614323,44.57959,9495,2022-07-23T16:39:40.290Z
4.614258,44.580368,9495,2022-07-23T16:39:41.000Z
4.613865,44.585449,9525,2022-07-23T16:39:43.300Z
4.612717,44.599697,9586,2022-07-23T16:39:50.770Z
4.61265,44.600489,9578,2022-07-23T16:39:51.110Z
4.612516,44.602444,9594,2022-07-23T16:39:52.130Z
4.612427,44.603394,9601,2022-07-23T16:39:52.650Z
4.611446,44.615479,9662,2022-07-23T16:39:58.770Z
4.61138,44.616257,9662,2022-07-23T16:39:59.320Z
4.611109,44.619575,9670,2022-07-23T16:40:00.820Z
4.610988,44.621338,9685,2022-07-23T16:40:01.850Z
4.610908,44.622508,9693,2022-07-23T16:40:02.360Z
4.610792,44.623444,9708,2022-07-23T16:40:02.730Z
4.610661,44.625412,9700,2022-07-23T16:40:03.760Z
4.610573,44.626372,9723,2022-07-23T16:40:04.350Z
4.610203,44.631226,9731,2022-07-23T16:40:06.820Z
4.609942,44.634338,9731,2022-07-23T16:40:08.510Z
4.609811,44.635529,9746,2022-07-23T16:40:09.100Z
4.60968,44.637451,9738,2022-07-23T16:40:10.060Z
4.609435,44.640384,9738,2022-07-23T16:40:11.620Z
4.609301,44.641594,9746,2022-07-23T16:40:12.040Z
4.609234,44.642758,9746,2022-07-23T16:40:12.610Z
4.609167,44.64355,9746,2022-07-23T16:40:13.080Z
4.609092,44.644501,9746,2022-07-23T16:40:13.780Z
4.608961,44.645691,9746,2022-07-23T16:40:14.170Z
4.608765,44.648438,9746,2022-07-23T16:40:15.550Z
4.608631,44.649415,9746,2022-07-23T16:40:16.140Z
4.607693,44.660867,9754,2022-07-23T16:40:21.890Z
4.607588,44.66185,9761,2022-07-23T16:40:22.410Z
4.607559,44.662869,9746,2022-07-23T16:40:22.920Z
4.607064,44.668625,9754,2022-07-23T16:40:25.830Z
4.606755,44.672412,9769,2022-07-23T16:40:27.730Z
4.605887,44.682266,9754,2022-07-23T16:40:32.530Z
4.605817,44.683259,9754,2022-07-23T16:40:33.080Z
4.605756,44.68428,9754,2022-07-23T16:40:33.720Z
4.605616,44.685307,9761,2022-07-23T16:40:34.110Z
4.60556,44.686295,9754,2022-07-23T16:40:34.540Z
4.605348,44.688938,9761,2022-07-23T16:40:35.970Z
4.605233,44.689957,9754,2022-07-23T16:40:36.400Z
4.60508,44.69215,9761,2022-07-23T16:40:37.540Z
4.604906,44.693985,9761,2022-07-23T16:40:38.480Z
4.604776,44.695221,9754,2022-07-23T16:40:39.040Z
4.604611,44.697457,9754,2022-07-23T16:40:40.120Z
4.603271,44.712959,9761,2022-07-23T16:40:47.630Z
4.603204,44.713797,9754,2022-07-23T16:40:48.350Z
4.603004,44.716264,9754,2022-07-23T16:40:49.490Z
4.601128,44.738144,9761,2022-07-23T16:40:59.910Z
4.600983,44.740402,9754,2022-07-23T16:41:00.990Z
