registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,flight_duration_min,flight_duration_str,airport_departure,airport_arrival,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,co2_emission_tonnes,path_csv
F-RAFA,3b770d,2022-08-10,2022-08-10 11:11:14.810000+00:00,2022-08-10 11:52:11.800000+00:00,40.93,41min,Épinal-Mirecourt Airport,Villacoublay-Velizy (BA 107) Air Base,LFSG,LFPV,47.781143,6.369736,48.774176,2.192351,2.1,output/F-RAFA/2022-08-10/leg_4/F-RAFA_baro_2022-08-10_leg_4.csv
F-RAFA,3b770d,2022-08-10,2022-08-10 09:06:05.580000+00:00,2022-08-10 09:46:22.420000+00:00,40.27,40min,Évreux-Fauville (BA 105) Air Base,Épinal-Mirecourt Airport,LFOE,LFSG,49.027771,1.218778,47.820328,6.234261,2.5,output/F-RAFA/2022-08-10/leg_3/F-RAFA_baro_2022-08-10_leg_3.csv
F-RAFA,3b770d,2022-08-10,2022-08-10 07:18:56.050000+00:00,2022-08-10 07:54:39.970000+00:00,35.72,36min,Épinal-Mirecourt Airport,Évreux-Fauville (BA 105) Air Base,LFSG,LFOE,47.797045,6.311927,49.014908,1.202369,1.9,output/F-RAFA/2022-08-10/leg_2/F-RAFA_baro_2022-08-10_leg_2.csv
F-RAFA,3b770d,2022-08-10,2022-08-10 06:11:12.100000+00:00,2022-08-10 06:45:53.870000+00:00,34.68,35min,Villacoublay-Velizy (BA 107) Air Base,Épinal-Mirecourt Airport,LFPV,LFSG,48.774409,2.204638,47.816162,6.248817,1.8,output/F-RAFA/2022-08-10/leg_1/F-RAFA_baro_2022-08-10_leg_1.csv
F-RAFA,3b770d,2022-08-09,2022-08-09 12:24:42.960000+00:00,2022-08-09 12:54:49.600000+00:00,30.1,30min,Évreux-Fauville (BA 105) Air Base,Villacoublay-Velizy (BA 107) Air Base,LFOE,LFPV,49.026718,1.21744,48.773941,2.181138,1.6,output/F-RAFA/2022-08-09/leg_2/F-RAFA_baro_2022-08-09_leg_2.csv
F-RAFA,3b770d,2022-08-09,2022-08-09 11:19:00.540000+00:00,2022-08-09 12:04:37.020000+00:00,45.6,46min,Villacoublay-Velizy (BA 107) Air Base,Évreux-Fauville (BA 105) Air Base,LFPV,LFOE,48.774362,2.203048,49.013874,1.201124,2.4,output/F-RAFA/2022-08-09/leg_1/F-RAFA_baro_2022-08-09_leg_1.csv
F-RAFA,3b770d,2022-08-04,2022-08-04 15:26:30.390000+00:00,2022-08-04 16:25:06.350000+00:00,58.58,59min,Pau Pyrenees Airport,Villacoublay-Velizy (BA 107) Air Base,LFBP,LFPV,43.912726,-0.528455,48.774502,2.20883,3.0,output/F-RAFA/2022-08-04/leg_4/F-RAFA_baro_2022-08-04_leg_4.csv
F-RAFA,3b770d,2022-08-04,2022-08-04 14:11:49.050000+00:00,2022-08-04 14:51:23.540000+00:00,39.57,40min,Orange-Caritat (BA 115) Air Base,Pau Pyrenees Airport,LFMO,LFBP,44.162525,4.847129,43.916016,-0.378645,2.1,output/F-RAFA/2022-08-04/leg_3/F-RAFA_baro_2022-08-04_leg_3.csv
F-RAFA,3b770d,2022-08-04,2022-08-04 12:37:32.800000+00:00,2022-08-04 13:19:40.330000+00:00,42.12,42min,Pau Pyrenees Airport,Orange-Caritat (BA 115) Air Base,LFBP,LFMO,43.91091,-0.527082,44.166901,4.801614,2.2,output/F-RAFA/2022-08-04/leg_2/F-RAFA_baro_2022-08-04_leg_2.csv
F-RAFA,3b770d,2022-08-04,2022-08-04 10:49:58.100000+00:00,2022-08-04 11:59:01.040000+00:00,69.03,1h09min,Villacoublay-Velizy (BA 107) Air Base,Pau Pyrenees Airport,LFPV,LFBP,48.77417,2.192547,43.915146,-0.404706,3.6,output/F-RAFA/2022-08-04/leg_1/F-RAFA_baro_2022-08-04_leg_1.csv
